"User ID","Gender","Age","EstimatedSalary","Purchased"
"80827273","Male","54","109656","0"
"80727281","Male","26","151405","0"
"80362474","Female","58","65754","1"
"80430866","Male","38","88627","1"
"80718071","Female","42","110892","1"
"80265730","Male","32","83266","0"
"80326594","Female","53","118432","1"
"80113972","Female","29","101858","0"
"80614811","Female","43","84195","0"
"80465525","Male","42","71622","1"
"80169218","Male","54","33353","1"
"80371403","Male","41","85308","0"
"80727190","Female","34","136162","0"
"80882094","Male","33","91086","0"
"80328931","Male","55","26415","0"
"80053210","Female","29","107257","1"
"80253117","Female","37","47276","1"
"80320067","Female","49","44507","1"
"80608981","Male","33","153831","1"
"80081224","Male","51","48269","1"
"80938770","Female","32","148925","1"
"80019018","Female","45","52035","1"
"80540762","Female","31","102947","0"
"80825174","Female","46","74301","0"
"80794693","Female","57","42760","1"
"80292110","Female","58","139975","0"
"80828081","Male","29","92958","0"
"80410242","Female","25","146928","1"
"80866192","Female","44","131384","0"
"80013845","Male","17","91563","1"
"80616694","Female","32","43342","0"
"80383222","Female","42","129332","0"
"80925880","Female","28","104295","1"
"80034782","Female","18","92797","0"
"80604462","Female","35","27200","0"
"80076845","Male","38","46896","0"
"80953705","Female","56","138673","1"
"80705398","Female","49","106253","1"
"80066429","Female","44","89170","0"
"80103698","Male","44","114662","1"
"80101736","Female","47","39950","1"
"80598788","Female","27","72315","0"
"80498334","Male","30","78050","1"
"80759734","Female","23","130393","1"
"80961972","Male","57","101488","0"
"80332535","Male","41","95661","1"
"80713849","Female","56","152625","1"
"80926914","Male","57","77112","0"
"80862107","Female","48","52322","0"
"80052963","Female","30","151610","1"
"80149124","Male","30","115360","0"
"80810144","Male","54","136981","1"
"80766254","Female","42","108402","1"
"80967159","Male","53","75174","1"
"80627815","Male","57","115622","1"
"80835060","Male","20","66491","1"
"80013172","Female","43","98322","0"
"80519006","Female","30","72611","1"
"80631684","Female","58","73159","0"
"80727760","Male","22","69116","0"
"80188632","Male","22","121826","0"
"80835476","Female","22","67010","1"
